id,is_iceberg
5941774d,0.005586
4023181e,0.031688
b20200e4,0.001
e7f018bb,0.999
4371c8c3,0.022151
a8d9b1fd,0.051959000000000005
29e7727e,0.003915999999999999
92a51ffb,0.999
c769ac97,0.001
aee0547d,0.001
565b28ac,0.001
e04e9775,0.138009
8e8161d1,0.001
4cf4d256,0.471183
139e5324,0.001662
f156976f,0.001
68a117cc,0.001
d9aa7a56,0.002494
9005b143,0.001
5f6d3988,0.999
9ad70954,0.006397
b9087b9e,0.45988999999999997
a39a1427,0.001809
82fbe8ed,0.001
1fae4879,0.001
6dd8f13d,0.001
bbad5958,0.005221
54527583,0.064829
be8fa29c,0.015671
81a3328f,0.999
1a3c0ab3,0.001
4deeeb8b,0.229717
ac6d5632,0.128467
472dadb5,0.035904000000000005
96093f95,0.9830096662044524
f5b4e3df,0.9989738166332244
e01a3c92,0.25301799999999997
001680af,0.002711
8e639f33,0.12299000000000002
a2c16612,0.9457399999999999
a6d76474,0.001
19c47684,0.029282
015827b6,0.001
7df7f7ce,0.034136
0bbf1a3f,0.331556
636cfbb7,0.5093840000000001
7370030a,0.999
43aa97ad,0.001
ba2b5e63,0.999
dfdd335b,0.250672
e79b13dc,0.001
dc32b195,0.057032000000000006
6d868590,0.998906
75fa59aa,0.002281
ffe50836,0.003625
a7bfd784,0.999
b3d569e3,0.001
6c538c5b,0.007522
5c7c15f4,0.001
0b745139,0.001
fd14608e,0.004706
f0bc8305,0.001
a10ccb28,0.999
543304c7,0.063965
6c3a4078,0.001
9b73cc75,0.001
5c6c71b1,0.001
09ee9186,0.004258
207c35cf,0.055564999999999996
153c813e,0.001
5605d58b,0.13335999999999998
642ca396,0.001
d32d72c0,0.042095
16646a17,0.994301
384074af,0.003854
69bf1e8c,0.523265
9e90a054,0.045805
89dbe7f7,0.999
dbd27d22,0.141046
a2ea1561,0.053967999999999995
d63402af,0.007294
1ac8bb92,0.999
8beffca5,0.010162000000000001
46741f3e,0.001
e5ee6aa7,0.001
5ecd892b,0.793804
69892166,0.001
2f725a81,0.02885
810abfe4,0.001
e6f973e6,0.020367
c60a5c46,0.001
c42b9e08,0.191807
c3f00c23,0.001366
5307fdb8,0.996292
3e4f005e,0.001
4a4cc2e0,0.9530310332775116
9bdd88d1,0.001
0d832bed,0.006789
14a134fa,0.0024230000000000002
78a41676,0.001
0bd4658e,0.022959
4a311bb0,0.423138
f939c817,0.001
956adc4d,0.999
f8a119f5,0.645055
61faa1ad,0.001282
6725eb3e,0.001
17b3a8fd,0.001
49a88dfc,0.001
2d6ec645,0.016016
0d4d77ba,0.292743
3ee672a2,0.999
738b41fd,0.062502
f7fb320d,0.05115
b42fad18,0.001
4ab8b00a,0.083687
f7870f2b,0.002514
4978666a,0.551545
f1b0d6c7,0.001
5642407f,0.001
36d4ff92,0.9986809999999999
4139aba2,0.012124
7585ce58,0.48355
33e25984,0.999
ac46f3c9,0.0018989999999999999
fc34a5b8,0.7479979999999999
85c36a8f,0.100771
b2d8a426,0.30685300000000004
13ec60d1,0.88775
9d440f42,0.00629
1c0a891e,0.555461
981c3bc3,0.999
295604f4,0.347231
16ca16c3,0.003319
b4dda837,0.03580424771644175
88d088ef,0.001
1b4fa160,0.089464
f371bd82,0.001
b130a0b7,0.999
ebf1de82,0.012213
01e651c3,0.0015660000000000001
51b1fecc,0.08391799999999999
fa635a31,0.001
97b7d789,0.001
2f598053,0.001
c0e3e148,0.035782
cfa175a8,0.001
3d7e09d8,0.9980058521032332
44a13d1b,0.9913559999999999
c66b0948,0.008976000000000001
976a6d64,0.001567
8bbd8909,0.46166599999999997
522890fd,0.001
f23a3b95,0.311981
680039dc,0.00351
93028e53,0.0051719999999999995
22a16932,0.001
7d8126d2,0.001
ba2ecd75,0.001
8071bdd7,0.053854
96d5aeee,0.001
154be68f,0.966514
d8c2bfe2,0.999
f76d47b0,0.006561
0e781ade,0.001
13cf6060,0.001
cd99f710,0.001
d10005bb,0.001
3a31445f,0.999
3157202d,0.008124
6ee64703,0.10781700000000001
e5de8685,0.063914
02cc70ba,0.001
50984a87,0.611107
fa94957a,0.999
eab406b4,0.30591199999999996
3ad39398,0.634401
9ecf3802,0.001
6048ae7b,0.001
9dc68871,0.001
13701465,0.135358
8d8779f3,0.001
0712f269,0.011035
722c2597,0.001
478a2b08,0.262519
38f5fb41,0.254988
c52ad74d,0.999
0c85fd09,0.001
f1582cba,0.9387909999999999
ff836697,0.9649790000000001
ddfe4802,0.001
3cef3bc7,0.999
6a21542b,0.00451
150e23c4,0.999
078c6d99,0.9857299999999999
1dcd1dc3,0.001
39967e45,0.093566
6b6333aa,0.001
4ae61433,0.004842
f96362e0,0.0018800000000000002
97a88aac,0.001
427ae8ce,0.027795
209d4b15,0.001
64b453bd,0.001
0f5a484e,0.339834
5ac74969,0.771772
736ed43e,0.32339
8533795f,0.048043999999999996
f5b54fb6,0.420962
6eb4c041,0.25375
97afdf42,0.769367
1bb488db,0.003015
f132e44d,0.001
d3c2f140,0.062133
1756794d,0.270277
9efcc11f,0.001
14c966cf,0.191649
59cfe4d1,0.182678
883151f4,0.001
34c4c9ff,0.03238
70b4c2eb,0.518712
96a337d9,0.051681
7fe89ffa,0.40176799999999996
057c7a22,0.001
451cc057,0.001
05076700,0.001
dc52f6c1,0.001
b03a59f9,0.001
129ed4b0,0.047318
fb611563,0.999
ac32e6f1,0.07838300000000001
c05c5ab0,0.018059
3163d5ed,0.001
02096ca4,0.07396799999999999
e92496c0,0.001
1a9e2c50,0.9964
0864e334,0.9553539305925368
d976faeb,0.051427999999999995
1d7b342f,0.001
281bc1ea,0.001
bea9f0cf,0.31788299999999997
f4afa0e6,0.001
e1b5ef69,0.106427
b50539fd,0.001
2a8c9c15,0.161869
157ebb0c,0.999
247d3614,0.001091
0c6cc0cb,0.001
aae88d39,0.001
0c77b464,0.006255
963cf5ea,0.001
1b371d8b,0.9817239999999999
225bc00f,0.001
bc0a4eec,0.001
1099782e,0.004794
a18feadd,0.999
ad7f4932,0.051692999999999996
5f8f831e,0.83662
b5167c35,0.001
0230b06d,0.11403800000000001
f8d7f7ba,0.001
08bd1053,0.005883
58e4dc8c,0.001
4793ce8e,0.024169
304caab4,0.001
f2ee6d7f,0.001
e1f9c0e4,0.08363200000000001
8e40401c,0.022265
5d9eaba2,0.098345
55e7562c,0.00321
9da6cb4b,0.001
c3c1c8ec,0.001
3b38698e,0.001
6c9eb909,0.00948
482a3d1d,0.002284
0e9918f0,0.516266
ef894fd2,0.001
4b82e7f7,0.999
b9cdd7fb,0.001
94a496f4,0.006222
995eacae,0.161831
41b02e58,0.999
69f04617,0.002926
c889a03c,0.999
91f98acf,0.999
9135c19f,0.999
1f0e9c09,0.001
260d6e8e,0.001
46334397,0.001
f34ddf31,0.001
4d6177d7,0.547126
76a57270,0.081285
217b8cea,0.001
9a45a566,0.001
1b55c75e,0.001
7bd92ec6,0.999
6c409f41,0.072986
df3e48eb,0.05821799999999999
62723e57,0.001
b8e627bf,0.001
86bb5d85,0.039589
77e5034c,0.410883
607079e5,0.071822
96879fb4,0.001
6afe606d,0.889066
4129802f,0.9825443923473358
a42300ef,0.06372699999999999
1af842f5,0.9977348893880844
3fe57d78,0.999
f4e60ed5,0.999
68c8337b,0.003474
914ed5b5,0.074404
a6bb5987,0.518251
c781c439,0.002198
47a1a25e,0.020867
80ea0713,0.967619
a9d001bc,0.00134
f94d098a,0.00908
3e230e0e,0.001
24afa485,0.001
bc37db7f,0.001
83f99e4d,0.001
1a8d86f7,0.001
38136419,0.5801890000000001
d393e637,0.072212
36902570,0.997885
